Standardized Model Name,Nationwide Model Name,Texas Model Name,Nationwide Ensemble Ratio,Texas Ensemble Ratio,Metric,Direction,Nationwide Value,Texas Value,Transportability Gap,Worst-Cohort Value,Comparison Available,Notes
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,Equalized_Odds_Difference_EOD,Lower is better,0.2365,0.2242,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost baseline,LightGBM baseline,CatBoost baseline,N/A,N/A,Fairness-Performance Stability Area,Higher is better,0.0,0.0,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,ROC_AUC,Higher is better,0.8129,0.8076,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,PR_AUC,Higher is better,0.3999,0.4309,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,F1_Score,Higher is better,0.4335,0.4576,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,Brier_Score,Lower is better,0.1716,0.1713,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,Precision,Higher is better,0.3403,0.4105,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,Recall,Higher is better,0.597,0.5169,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,Specificity,Higher is better,,,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,FNR_Gap_DGAP,Lower is better,0.5593,0.5132,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,Equalized_Odds_Difference_EOD,Lower is better,0.388,0.3967,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
LightGBM / CatBoost with ACT-parity,LightGBM with ACT-parity,CatBoost with ACT-parity,N/A,N/A,Fairness-Performance Stability Area,Higher is better,0.0,0.0,,,False,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
