Analysis_Cohort,Analysis_Subgroup,Source_File,Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (30:70),0.4716,0.7662,0.721,0.742,0.7008,0.6325,0.8974,105,66,61,12,0.1538461538461538,0.2,0.1,0.3352826510721248,0.1,0.2176413255360624,1.0,,30:70,0.0224842023113676,0.2175,2.331
Texas,Diabetes + Heart Failure,parity_Texas_Cohort_Diabetes__plus__Heart_Failure_d_plus_hf.csv,Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.4679,0.7982,0.7496,0.7431,0.7336,0.6912,0.8034,94,85,42,23,0.2478632478632478,0.28,0.08,0.2375478927203065,0.08,0.1587739463601532,1.0,,30:70,0.0322089911157839,0.2079,2.889
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),CatBoost baseline,0.3063,0.7672,0.6137,0.6226,0.6354,0.4763,0.8988,231,257,254,26,0.3618677042801556,0.4150943396226415,0.09366576819407,0.0455665024630542,0.09366576819407,0.0696161353285621,1.0,,,0.0587243062499969,0.1873,0.8185
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),CatBoost with ACT-parity,0.3415,0.7533,0.6025,0.6054,0.6367,0.4756,0.8327,214,275,236,43,0.3346303501945525,0.4339622641509434,0.1661051212938005,0.0899014778325122,0.1661051212938005,0.1280032995631564,1.0,,,0.0910543701028888,0.1961,0.7631
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost with ACT-parity,0.2983,0.7477,0.5867,0.6012,0.6406,0.4782,0.8093,208,284,227,49,0.4280155642023346,0.4716981132075472,0.0788409703504043,0.2133620689655172,0.0788409703504043,0.1461015196579607,1.0,,,0.0551785415120638,0.2001,0.534
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost baseline,0.2615,0.7495,0.5888,0.6028,0.6328,0.4724,0.8327,214,272,239,43,0.4474708171206226,0.4716981132075472,0.0341981132075471,0.1557881773399014,0.0341981132075471,0.0949931452737243,1.0,,,0.0316857216101816,0.1981,0.5293
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer,0.5516,0.5031,0.3557,0.5025,0.3424,0.3364,0.9922,255,8,503,2,0.0038910505836575,0.0119047619047619,0.0119047619047619,0.0,0.0119047619047619,0.0059523809523809,1.0,,,4.1324503216705765e-05,0.2761,0.9323
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer with ACT-parity,0.3957,0.5213,0.3544,0.5076,0.4062,0.3513,0.9144,235,77,434,22,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.2299,0.6197
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4797,0.7478,0.5867,0.5997,0.6367,0.475,0.8132,209,280,231,48,0.2840466926070039,0.320754716981132,0.0528975741239892,0.1748704663212435,0.0528975741239892,0.1138840202226163,1.0,,30:70,0.0261851205625921,0.2269,2.5682
Texas,Diabetes + Hypertension,parity_Texas_Cohort_Diabetes__plus__Hypertension_d_plus_hyp.csv,Texas Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.357,0.7424,0.5658,0.6053,0.6094,0.4573,0.8949,230,238,273,27,0.6147859922178989,0.660377358490566,0.0770440251572326,0.0877590673575129,0.0770440251572326,0.0824015462573728,1.0,,30:70,0.0938323782369921,0.2026,2.4271
