Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Pair Name,Base Model,HIR Model,Weight Base,Weight HIR,Ensemble Ratio (Base:HIR),Optimal Threshold,Sample Size
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,XGBoost + HIR-M3 Transformer,XGBoost,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
0.26219424370726147,0.8224910465856559,0.48124308610247946,0.4818209044624139,0.8140249801147967,0.4207112970711297,0.5637000700770848,0.8593773805291758,0.10305033338213683,4022,33844,5538,3113,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.9,0.1,90:10,0.26219424370726147,232581
0.23954732468447978,0.8233488618497056,0.48240576963414755,0.48294859787339545,0.7982458026097986,0.397875816993464,0.6142957252978276,0.8315727997562338,0.10290539553019272,4383,32749,6633,2752,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.8,0.2,80:20,0.23954732468447978,232581
0.25442161837438276,0.8239503411093119,0.48314390435827503,0.4834679528153873,0.8089085710600425,0.4129442128250943,0.5830413454800281,0.8498298715149053,0.10280202113208264,4160,33468,5914,2975,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.7,0.3,70:30,0.25442161837438276,232581
0.260348409967337,0.8243183249886287,0.4834121278868717,0.4841368676985115,0.8129930992970312,0.41961348684210525,0.5721093202522775,0.8566350109186939,0.10274021027275282,4082,33736,5646,3053,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.6,0.4,60:40,0.260348409967337,232581
0.2550521372680637,0.8244672445769266,0.483245836535261,0.4848414314809427,0.8096824816733668,0.4145273631840796,0.5838822704975473,0.8505916408511502,0.10271996291291405,4166,33498,5884,2969,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.5,0.5,50:50,0.2550521372680637,232581
0.2534871263334099,0.8244068439734472,0.4827283842629577,0.4850482966047776,0.8086076058215276,0.4129407130194997,0.587666433076384,0.8486364328881215,0.1027412788958642,4193,33421,5961,2942,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.4,0.6,40:60,0.2534871263334099,232581
0.2544541215895749,0.8241370947074844,0.48175328080838226,0.485722560092673,0.8091235462304104,0.41391905231984205,0.587666433076384,0.8492458483571175,0.10280415863169463,4193,33445,5937,2942,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.3,0.7,30:70,0.2544541215895749,232581
0.25756678718360354,0.8236718371011524,0.4802974705504628,0.48491228070175435,0.810649869940022,0.41605619668840943,0.5810791871058164,0.8522421410796811,0.1029086015436662,4146,33563,5819,2989,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.2,0.8,20:80,0.25756678718360354,232581
0.25359606988865724,0.8230111352135412,0.47855010679305865,0.4844885249682851,0.8078121976911666,0.41158028803762126,0.5887876664330763,0.847493778883754,0.10305460826340432,4201,33376,6006,2934,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.1,0.9,10:90,0.25359606988865724,232581
0.2481443295667493,0.8213743632037189,0.479605158306727,0.4806526542405529,0.8029322613238171,0.403385317611259,0.5945339873861247,0.8406886394799654,0.10323683471623035,4242,33108,6274,2893,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,1.0,0.0,100:0,0.2481443295667493,232581
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,CatBoost + HIR-M3 Transformer,CatBoost,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
0.20626581034842983,0.8070343392662608,0.45021216640997835,0.4737615923999095,0.7999441064557044,0.39709925111384964,0.5871058163980378,0.8385049007160632,0.10993961145670668,4189,33022,6360,2946,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.9,0.1,90:10,0.20626581034842983,232581
0.20955575280972047,0.8125762049594761,0.46126853233262366,0.47960500476911855,0.8006105294838446,0.3998877245508982,0.5990189208128942,0.8371337159108222,0.10847877402555749,4274,32968,6414,2861,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.8,0.2,80:20,0.20955575280972047,232581
0.2109121919057973,0.8163665777111309,0.46931086693469914,0.4818452709413972,0.7981383150246146,0.39737872030581595,0.6119131044148564,0.8318775074907319,0.10719710600123972,4366,32761,6621,2769,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.7,0.3,70:30,0.2109121919057973,232581
0.22548207180377097,0.8189563301003304,0.4746323459246864,0.4829667459810805,0.8084786207193069,0.4121434231378764,0.5831814996496145,0.8492966329795338,0.10609460778789706,4161,33447,5935,2974,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.6,0.4,60:40,0.22548207180377097,232581
0.20680655396353437,0.82069786897119,0.47738941862160916,0.48346826847740926,0.7874110540232603,0.38534554537885096,0.6486334968465312,0.8125539586613173,0.10517127912673113,4628,32000,7382,2507,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.5,0.5,50:50,0.20680655396353437,232581
0.23765543563241073,0.8218218853394262,0.47848965310956226,0.4837595833089483,0.8103704022185437,0.4152934083601286,0.5792571829011913,0.8522421410796811,0.10442711954677515,4133,33563,5819,3002,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.4,0.6,40:60,0.23765543563241073,232581
0.23630611830698187,0.8224703519409923,0.4786789945190771,0.48466537452970015,0.8056624459874885,0.40847506486019025,0.5957953749124036,0.843684932202529,0.10386213027850387,4251,33226,6156,2884,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.3,0.7,30:70,0.23630611830698187,232581
0.2309467538273563,0.8227055662401768,0.47830460829754234,0.48472841340597655,0.7987187479846077,0.3990576295759333,0.617238962859145,0.831598192067442,0.10347630981112807,4404,32750,6632,2731,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.2,0.8,20:80,0.2309467538273563,232581
0.23883965364042709,0.8225965163172557,0.47752034317752573,0.4837504877640894,0.8009114947223596,0.40161051462421327,0.6081289418360196,0.8358387080392057,0.10326965945650601,4339,32917,6465,2796,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.1,0.9,10:90,0.23883965364042709,232581
0.19999029261925652,0.7987466447717445,0.4350442450486058,0.4635989774369234,0.7925059655609777,0.38410535040058935,0.58458304134548,0.8301762226397846,0.11157961842940184,4171,32694,6688,2964,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,1.0,0.0,100:0,0.19999029261925652,232581
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,Random Forest + HIR-M3 Transformer,Random Forest,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
0.2162542982574918,0.8119209587709653,0.45019017772621206,0.4734588076186183,0.7991272008083067,0.3959099048157572,0.5887876664330763,0.8372352851556548,0.10743283164871228,4201,32972,6410,2934,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.9,0.1,90:10,0.2162542982574918,232581
0.21095883292050102,0.8155634333209119,0.458293640832631,0.4776522726044425,0.7922264978394995,0.38872273047149897,0.6193412754029433,0.8235488294144533,0.10649282354671084,4419,32433,6949,2716,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.8,0.2,80:20,0.21095883292050102,232581
0.20869962956382015,0.818219614985656,0.4648360988627727,0.4794600010546854,0.7877980093299224,0.38434223875549545,0.6371408549404345,0.815093189782134,0.10567141032603608,4546,32100,7282,2589,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.7,0.3,70:30,0.20869962956382015,232581
0.22160616438628766,0.8201070875794871,0.4702060368407954,0.4813383392226148,0.7980523249564675,0.397103033615742,0.6109320252277505,0.8319536844243564,0.10496859228781795,4359,32764,6618,2776,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.6,0.4,60:40,0.22160616438628766,232581
0.2427914545066678,0.8214063980865975,0.47419147030110737,0.48174140597121445,0.8126706365414794,0.41843165616282674,0.5676243868255081,0.8570666802092326,0.10438436924255266,4050,33753,5629,3085,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.5,0.5,50:50,0.2427914545066678,232581
0.23813362972427532,0.8222139162890769,0.4764984295780945,0.48279433766831625,0.8067803168734011,0.4095479839890657,0.5879467414155571,0.8464273018130111,0.10391874082533628,4195,33334,6048,2940,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.4,0.6,40:60,0.23813362972427532,232581
0.231713351082993,0.8226386494037861,0.4774355764066622,0.48357745228584104,0.7999011114216308,0.40022040591422536,0.610791871058164,0.8341628154994668,0.10357170799538781,4358,32851,6531,2777,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.3,0.7,30:70,0.231713351082993,232581
0.23565964841985487,0.822740136795338,0.4775691606131044,0.48373282909738063,0.8004385493475503,0.40097731882721743,0.6095304835318851,0.8350261540805444,0.10334326955047228,4349,32885,6497,2786,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.2,0.8,20:80,0.23565964841985487,232581
0.25004359039387264,0.8225611984060532,0.47725222688137026,0.4833948339483395,0.8073822473504311,0.4106180820844353,0.5875262789067974,0.8472144634604641,0.10323342657610622,4192,33365,6017,2943,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.1,0.9,10:90,0.25004359039387264,232581
0.2095734392164263,0.8069067762665487,0.44070370422805455,0.46733111849390924,0.7931938861061547,0.3862700228832952,0.5914505956552207,0.8297445533492458,0.10849143473241712,4220,32677,6705,2915,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,1.0,0.0,100:0,0.2095734392164263,232581
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,Gradient Boosting + HIR-M3 Transformer,Gradient Boosting,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
