Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,Specificity,0.32235455419956893,0.3124907974363424,0.33152839460284345,0.3224 (0.3125 - 0.3315)
Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer,Brier_Score,0.22861465216120472,0.22788402839184715,0.22932531560981548,0.2286 (0.2279 - 0.2293)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,ROC_AUC,0.6912402077824876,0.6799124757108927,0.7047628514149193,0.6912 (0.6799 - 0.7048)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,PR_AUC,0.31017626450740776,0.2877751243989927,0.33281781733424076,0.3102 (0.2878 - 0.3328)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,F1_Score,0.34800116959235894,0.33317188132087505,0.3632856117515656,0.3480 (0.3332 - 0.3633)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,Accuracy,0.673513610888711,0.666048839071257,0.6811869495596478,0.6735 (0.6660 - 0.6812)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,Precision,0.24644266839654028,0.23378168958159026,0.25989523442029805,0.2464 (0.2338 - 0.2599)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,Recall_Sensitivity,0.5921340677558304,0.569618520110361,0.614610594386422,0.5921 (0.5696 - 0.6146)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,Specificity,0.6875559905035851,0.679629731031998,0.6952365721344196,0.6876 (0.6796 - 0.6952)
Texas Cohort (Rural),Rural,62449,756,Standard MLP,Brier_Score,0.2125076604270032,0.20928667366152914,0.21562651027581978,0.2125 (0.2093 - 0.2156)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,ROC_AUC,0.6588096644390852,0.6460713781020881,0.6720000679922549,0.6588 (0.6461 - 0.6720)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,PR_AUC,0.27898831231441806,0.2605723859770441,0.2999831155786093,0.2790 (0.2606 - 0.3000)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,F1_Score,0.3175064512189061,0.3036699229356455,0.332816844468604,0.3175 (0.3037 - 0.3328)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,Accuracy,0.6527205764611691,0.6456325060048039,0.6613290632506005,0.6527 (0.6456 - 0.6613)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,Precision,0.22337118711353288,0.2124978509190692,0.2362845293407027,0.2234 (0.2125 - 0.2363)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,Recall_Sensitivity,0.5489722659229662,0.527784038688616,0.5706656477507299,0.5490 (0.5278 - 0.5707)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,Specificity,0.6706213534982627,0.6628721035710159,0.6799904843309059,0.6706 (0.6629 - 0.6800)
Texas Cohort (Rural),Rural,62449,756,Standard Transformer,Brier_Score,0.22431513550380922,0.22212863683638556,0.2263674904717946,0.2243 (0.2221 - 0.2264)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,ROC_AUC,0.6571184679055481,0.6457039164683359,0.671888022885804,0.6571 (0.6457 - 0.6719)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,PR_AUC,0.2759798357665854,0.2569815432537088,0.29696496930471533,0.2760 (0.2570 - 0.2970)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,F1_Score,0.2720483412991441,0.2633911048960861,0.2829153516462108,0.2720 (0.2634 - 0.2829)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,Accuracy,0.24898718975180145,0.24242193755004002,0.2578943154523619,0.2490 (0.2424 - 0.2579)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,Precision,0.15866499939055584,0.15296950924158867,0.16588839971167188,0.1587 (0.1530 - 0.1659)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,Recall_Sensitivity,0.9536170621509495,0.9439280282500332,0.9640581471046944,0.9536 (0.9439 - 0.9641)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,Specificity,0.1273928231407745,0.12162740593936568,0.13446793993337403,0.1274 (0.1216 - 0.1345)
Texas Cohort (Rural),Rural,62449,756,SAINT Transformer,Brier_Score,0.2557498016400819,0.2537691046280164,0.25755812736315453,0.2557 (0.2538 - 0.2576)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,ROC_AUC,0.6582011345937323,0.6444838472258111,0.6713732735165205,0.6582 (0.6445 - 0.6714)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,PR_AUC,0.27902704918098853,0.260698074653537,0.3001094484014768,0.2790 (0.2607 - 0.3001)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,F1_Score,0.32049850989211215,0.30698560377483824,0.33578400441313583,0.3205 (0.3070 - 0.3358)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,Accuracy,0.7230016012810248,0.7159287429943956,0.7294715772618094,0.7230 (0.7159 - 0.7295)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,Precision,0.25081045248106526,0.23810667847099026,0.26602943307628785,0.2508 (0.2381 - 0.2660)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,Recall_Sensitivity,0.44396865775382144,0.42266514074366013,0.4648003879426118,0.4440 (0.4227 - 0.4648)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,Specificity,0.7711520251953494,0.7645562686898137,0.7788655271633025,0.7712 (0.7646 - 0.7789)
Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer,Brier_Score,0.20599921594891288,0.20407434498993254,0.2079637080124092,0.2060 (0.2041 - 0.2080)
