Cohort,Subgroup,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,HF + Hyp,41550,2077,Gradient Boosting,0.6623 (0.6532 - 0.6716),0.2051 (0.2024 - 0.2078),0.6124 (0.6009 - 0.6260),0.5725 (0.5519 - 0.5909),0.5111 (0.4984 - 0.5268),0.7466 (0.7364 - 0.7563),0.7636 (0.7488 - 0.7778),0.6078 (0.5947 - 0.6196)
Nationwide Cohort,HF + Hyp,41550,2077,HIR-M3 Transformer,0.3498 (0.3397 - 0.3599),0.2456 (0.2438 - 0.2474),0.5178 (0.5067 - 0.5289),0.4211 (0.4003 - 0.4384),0.3494 (0.3393 - 0.3596),0.5920 (0.5797 - 0.6037),0.9994 (0.9983 - 1.0000),0.0009 (0.0002 - 0.0017)
Nationwide Cohort,HF + Hyp,41550,2077,LightGBM,0.6484 (0.6386 - 0.6579),0.1938 (0.1896 - 0.1985),0.6255 (0.6132 - 0.6374),0.5939 (0.5762 - 0.6112),0.4981 (0.4846 - 0.5105),0.7587 (0.7481 - 0.7675),0.8407 (0.8294 - 0.8552),0.5451 (0.5306 - 0.5567)
Nationwide Cohort,HF + Hyp,41550,2077,Logistic Regression,0.6422 (0.6321 - 0.6522),0.2182 (0.2129 - 0.2232),0.5813 (0.5694 - 0.5965),0.5499 (0.5310 - 0.5699),0.4916 (0.4777 - 0.5072),0.7170 (0.7060 - 0.7291),0.7109 (0.6943 - 0.7278),0.6053 (0.5933 - 0.6180)
Nationwide Cohort,HF + Hyp,41550,2077,Random Forest,0.6160 (0.6052 - 0.6262),0.2038 (0.2015 - 0.2069),0.5882 (0.5761 - 0.6008),0.5357 (0.5170 - 0.5537),0.4703 (0.4556 - 0.4842),0.7141 (0.7021 - 0.7244),0.7853 (0.7696 - 0.8009),0.5251 (0.5130 - 0.5382)
Nationwide Cohort,HF + Hyp,41550,2077,SAINT Transformer,0.3504 (0.3404 - 0.3604),0.3074 (0.3038 - 0.3111),0.5176 (0.5069 - 0.5283),0.4217 (0.4017 - 0.4404),0.3495 (0.3397 - 0.3593),0.5886 (0.5743 - 0.6009),0.9977 (0.9959 - 0.9993),0.0028 (0.0016 - 0.0043)
Nationwide Cohort,HF + Hyp,41550,2077,Standard MLP,0.6302 (0.6200 - 0.6408),0.2131 (0.2084 - 0.2178),0.5854 (0.5725 - 0.5989),0.5594 (0.5395 - 0.5783),0.4812 (0.4661 - 0.4960),0.7159 (0.7032 - 0.7285),0.7474 (0.7315 - 0.7626),0.5672 (0.5534 - 0.5798)
Nationwide Cohort,HF + Hyp,41550,2077,Standard Transformer,0.3515 (0.3417 - 0.3616),0.2454 (0.2435 - 0.2475),0.5175 (0.5063 - 0.5285),0.4181 (0.3992 - 0.4361),0.3496 (0.3395 - 0.3596),0.5892 (0.5765 - 0.6010),0.9953 (0.9924 - 0.9979),0.0059 (0.0043 - 0.0079)
Nationwide Cohort,HF + Hyp,41550,2077,XGBoost,0.6622 (0.6535 - 0.6726),0.1940 (0.1900 - 0.1980),0.6311 (0.6191 - 0.6431),0.6049 (0.5870 - 0.6225),0.5102 (0.4957 - 0.5243),0.7648 (0.7541 - 0.7745),0.8272 (0.8151 - 0.8408),0.5736 (0.5610 - 0.5863)
Nationwide Cohort,Hyp,65916,2077,CatBoost,0.7346 (0.7267 - 0.7419),0.1834 (0.1806 - 0.1862),0.5385 (0.5254 - 0.5514),0.5206 (0.5034 - 0.5386),0.4532 (0.4380 - 0.4691),0.7913 (0.7833 - 0.7991),0.6634 (0.6459 - 0.6796),0.7562 (0.7473 - 0.7643)
