Dataset,Method,Feature Name,Score
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_21,1.000000035552343
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_12,1.0000000351004399
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2AHMS,1.0000000351004399
Complete Cohort,Variance Threshold,COUNTY_NAME_Trinity,1.0000000351004397
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1AHMT,1.00000003441299
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_23,1.0000000341312736
Complete Cohort,Variance Threshold,ACS_PCT_INC50,1.0000000336415822
Complete Cohort,Variance Threshold,ACS_PCT_CHILD_1FAM,1.0000000334382129
Complete Cohort,Variance Threshold,wloss,1.0000000334289159
Complete Cohort,Variance Threshold,ACS_PCT_GRANDP_RESPS_NO_P,1.0000000328824992
Complete Cohort,Variance Threshold,BMI_Category_Overweight,1.0000000325361125
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CGLT,1.0000000323501261
Complete Cohort,Variance Threshold,ACS_PCT_HH_CELLULAR_ONLY,1.0000000321003597
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_11,1.0000000313257191
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2AGLS,1.000000031325719
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_21,1.0000000311565505
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_29,1.0000000310161394
Complete Cohort,Variance Threshold,ACS_PCT_HH_OTHER_COMP_ONLY,1.0000000309311325
Complete Cohort,Variance Threshold,POPPCT_RUR,1.0000000307261978
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_35,1.0000000303122796
Complete Cohort,Variance Threshold,ACS_PCT_HH_OTHER_COMP,1.000000030295779
Complete Cohort,Variance Threshold,COUNTY_NAME_Hill,1.0000000302871839
Complete Cohort,Variance Threshold,COUNTY_NAME_Freestone,1.0000000302096552
Complete Cohort,Variance Threshold,COUNTY_NAME_Randall,1.0000000299140515
Complete Cohort,Variance Threshold,ACS_PCT_HH_1FAM_FOOD_STMP,1.0000000292335718
Complete Cohort,Variance Threshold,COUNTY_NAME_Webb,1.0000000290963103
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_21,1.0000000289906776
Complete Cohort,Variance Threshold,ACS_PCT_HH_SAT_INTERNET,1.0000000289885618
Complete Cohort,Variance Threshold,ACS_PCT_HH_NO_COMP_DEV,1.000000028438305
Complete Cohort,Variance Threshold,charlson_ageadj,1.0000000277081849
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_21,1.0000000274783538
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_114,1.0000000274083922
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_3,1.0000000265654174
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_195,1.000000026299655
Complete Cohort,Variance Threshold,COUNTY_NAME_Jasper,1.0000000262996545
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CGLS,1.000000025560044
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BGKT,1.0000000254621648
Complete Cohort,Variance Threshold,ACS_PCT_HH_BROADBAND_ONLY,1.000000025433618
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_Other,1.0000000253907373
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_29,1.0000000253302157
Complete Cohort,Variance Threshold,ACS_TOT_GRANDCHILDREN_GP,1.000000025057081
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_30,1.0000000250046024
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_116,1.0000000249646122
Complete Cohort,Variance Threshold,COUNTY_NAME_Upshur,1.0000000248811711
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_22,1.0000000247122702
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2BFKT,1.00000002471227
Complete Cohort,Variance Threshold,ACS_PCT_POV_NHPI,1.0000000244319582
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_35,1.000000024392077
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_10,1.0000000243920768
