Cluster_ID,Cluster_Name,Source_Column
-86,"Skin/Subcutaneous: L89.624, L89.614",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-85,"Skin/Subcutaneous: L89.623, L89.613",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-84,"Skin/Subcutaneous: L89.622, L89.612",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-83,"Skin/Subcutaneous: L89.621, L89.611",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-82,"Skin/Subcutaneous: L89.620, L89.610",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-81,"Skin/Subcutaneous: L89.523, L89.513",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-80,"Skin/Subcutaneous: L89.522, L89.512",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-79,"Skin/Subcutaneous: L89.510, L89.520",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-78,"Skin/Subcutaneous: L89.313, L89.323",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-77,"Skin/Subcutaneous: L89.312, L89.322",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-76,"Skin/Subcutaneous: L89.311, L89.321",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-75,"Skin/Subcutaneous: L89.310, L89.320",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-74,"Skin/Subcutaneous: L89.894, L89.224",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-73,"Skin/Subcutaneous: L89.223, L89.213",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-72,"Skin/Subcutaneous: L03.116, L03.115",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-71,"Skin/Subcutaneous: L03.011, L02.511",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-70,"Skin/Subcutaneous: L03.114, L02.414",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-69,"Skin/Subcutaneous: L03.113, L02.413",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-68,"Skin/Subcutaneous: L73.2, L02.411",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-67,"Skin/Subcutaneous: L02.31, L03.317",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-66,"Skin/Subcutaneous: L02.215, L03.315",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-65,"Skin/Subcutaneous: L02.214, L03.314",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-64,"Skin/Subcutaneous: L03.313, L02.213",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-63,"Skin/Subcutaneous: L02.212, L03.312",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-62,"Skin/Subcutaneous: L02.211, L03.311",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-61,"Skin/Subcutaneous: L02.11, L03.221",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-60,"Digestive: K59.03, T40.2X5D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-59,"Digestive: K26.9, K22.10",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-58,"Respiratory: J96.21, J96.22",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-57,"Respiratory: J96.11, J96.12",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-56,"Respiratory: R49.0, J38.01",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-55,"Circulatory: I83.12, I83.11",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
