Method,Dataset,Feature_Short,Score_TX,Score_Nationwide,Score_Diff,Abs_Diff
HIR-M3 Attention Importance,Hypertensive Patients,HIPPS: 2BGLS,0.024794427677989,0.1719008833169937,-0.1471064556390047,0.1471064556390047
HIR-M3 Attention Importance,Hypertensive Patients,Primary Dx – Circulatory: I50.22,0.0297047644853591,0.1619472354650497,-0.13224247097969058,0.13224247097969058
Lasso (L1 LogReg),Hypertensive Patients,HYPC,-0.1897877457451675,-0.3182442589580829,0.1284565132129154,0.1284565132129154
HIR-M3 Attention Importance,Hypertensive Patients,hypothy,0.0008117820252664,0.1273029893636703,-0.12649120733840388,0.12649120733840388
HIR-M3 Attention Importance,Hypertensive Patients,"Dx2 – Respiratory: J18.9, J44.0",0.1273949146270752,0.0068850666284561,0.1205098479986191,0.1205098479986191
Random Forest Importance,Diabetic Patients,Days Cared For,0.0713756597355415,0.1908353635154909,-0.11945970377994941,0.11945970377994941
HIR-M3 Attention Importance,Hypertensive Patients,Acs % Vet Pov 18 64,0.1174551174044609,0.0010062514338642,0.1164488659705967,0.1164488659705967
Lasso (L1 LogReg),Hypertensive Patients,"Primary Dx – Circulatory: I10., M62.81",-0.1137967911205656,-0.00178035133049,-0.1120164397900756,0.1120164397900756
HIR-M3 Attention Importance,Hypertensive Patients,HIPPS: 1AFPS,0.1116475164890289,0.0008011273457668,0.1108463891432621,0.1108463891432621
Lasso (L1 LogReg),Diabetic Patients,Primary Dx – Genitourinary: N18.5,0.0265854723116724,-0.0832865453419147,0.10987201765358709,0.10987201765358709
HIR-M3 Attention Importance,Hypertensive Patients,"Primary Dx – Factors Influencing Health Status: Z96.642, M16.12",0.1098599731922149,5.421523746917956e-05,0.10980575795474572,0.10980575795474572
HIR-M3 Attention Importance,Hypertensive Patients,HIPPS: 1BGKS,0.0108344759792089,0.1199791356921196,-0.1091446597129107,0.1091446597129107
HIR-M3 Attention Importance,Hypertensive Patients,Dx3 – Cluster 31,0.0120071750134229,0.1175092011690139,-0.105502026155591,0.105502026155591
Lasso (L1 LogReg),Hypertensive Patients,elix quan score,0.1716440557518751,0.0688146127062331,0.10282944304564201,0.10282944304564201
Lasso (L1 LogReg),Hypertensive Patients,Primary Dx – Circulatory: I50.22,0.0,-0.1016687238519818,0.1016687238519818,0.1016687238519818
HIR-M3 Attention Importance,Complete Cohort,Primary Dx – Mental/Behavioral: F03.90,0.1027294620871543,0.001332267303951,0.1013971947832033,0.1013971947832033
Lasso (L1 LogReg),Hypertensive Patients,elix swiss ageadj,0.0,-0.1005081593050799,0.1005081593050799,0.1005081593050799
HIR-M3 Attention Importance,Hypertensive Patients,Acs % Vet Bachelor,0.1010468453168869,0.0010114492615684,0.1000353960553185,0.1000353960553185
Lasso (L1 LogReg),Heart Failure Patients,Age,-0.0517840419566672,-0.1511667563757791,0.0993827144191119,0.0993827144191119
HIR-M3 Attention Importance,Hypertensive Patients,Primary Dx – Cluster 118,0.0999424532055854,0.000648402259685,0.0992940509459004,0.0992940509459004
HIR-M3 Attention Importance,Hypertensive Patients,HIPPS: Other,0.1003007590770721,0.0029160750564187,0.0973846840206534,0.0973846840206534
HIR-M3 Attention Importance,Complete Cohort,Primary Dx – Mental/Behavioral: F03.90,0.1027294620871543,0.0060903481207787,0.0966391139663756,0.0966391139663756
