Dataset,Method,Feature Name,Score
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_INTERNET_NO_SUBS,0.00646527309474639
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_COLLEGE_ASSOCIATE_DGR,0.005963273039276119
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_VET_COLLEGE,-0.005704245347573558
Complete Cohort,Lasso (L1 LogReg),POP_RUR,0.00531682570730081
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_NO_WORK_NO_SCHL_16_19,-0.004915120754627305
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_ABOVE65,-0.004802297350140752
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_1PERS,0.004721427843163469
Complete Cohort,Lasso (L1 LogReg),lymph,-0.004594051657776196
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_ALONE_ABOVE65,-0.004340916431275585
Complete Cohort,Lasso (L1 LogReg),depre,-0.0038888328921138286
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_BROADBAND_ONLY,0.003452315580334411
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_GRANDP_NO_RESPS,0.0031881167111374254
Complete Cohort,Lasso (L1 LogReg),aids,-0.0024105588791118703
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POV_HISPANIC,0.000998852563500509
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_NO_FD_STMP_BLW_POV,-0.0008820831784783247
Complete Cohort,Lasso (L1 LogReg),coag,0.0007962717823843374
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POV_NHPI,0.00047784601270898087
Complete Cohort,Lasso (L1 LogReg),dane,-0.00044177719283143644
Complete Cohort,Lasso (L1 LogReg),elix_quan_ageadj,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_PUB_ASSIST,0.0
Complete Cohort,Lasso (L1 LogReg),cevd,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_INC50,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POV_WHITE,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POV_OTHER,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_INC50_ABOVE65,0.0
Complete Cohort,Lasso (L1 LogReg),Native_Hawiian_or_Pacific_Islander,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_PERSON_INC_ABOVE200,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POV_MULTI,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_NONVET_POV_18_64,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_POV_ASIAN,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_PERSON_INC_100_124,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_PERSON_INC_BELOW99,0.0
Complete Cohort,Lasso (L1 LogReg),elix_swiss_score,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_NO_COMP_DEV,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_FOOD_STMP_BLW_POV,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_GRADUATE_DGR,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_INTERNET,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_DIAL_INTERNET_ONLY,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_CELLULAR_ONLY,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_CELLULAR,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_BROADBAND,0.0
Complete Cohort,Lasso (L1 LogReg),ACS_PCT_HH_LIMIT_ENGLISH,0.0
