Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort - Rural,Rural,199331,2570,Weighted Ensemble,Brier_Score,0.10303264526077692,0.10142001515155377,0.10479681261198877,0.1030 (0.1014 - 0.1048)
Texas Cohort - Urban,Urban,28401,720,LightGBM,ROC_AUC,0.8229271986179769,0.8100279415372273,0.8361004555429239,0.8229 (0.8100 - 0.8361)
Texas Cohort - Urban,Urban,28401,720,LightGBM,PR_AUC,0.4646322806372271,0.4315708782801642,0.4942184002562066,0.4646 (0.4316 - 0.4942)
Texas Cohort - Urban,Urban,28401,720,LightGBM,F1_Score,0.4780583835914318,0.4522823107209506,0.5075456476503144,0.4781 (0.4523 - 0.5075)
Texas Cohort - Urban,Urban,28401,720,LightGBM,Accuracy,0.8203978172856892,0.8098882239042422,0.8310288681570146,0.8204 (0.8099 - 0.8310)
Texas Cohort - Urban,Urban,28401,720,LightGBM,Precision,0.4251446166766211,0.39863908324069836,0.45541141175194505,0.4251 (0.3986 - 0.4554)
Texas Cohort - Urban,Urban,28401,720,LightGBM,Recall_Sensitivity,0.5463761732106129,0.5141670450245933,0.5765845316029615,0.5464 (0.5142 - 0.5766)
Texas Cohort - Urban,Urban,28401,720,LightGBM,Specificity,0.8690021263066967,0.8599344280177323,0.8777566556548526,0.8690 (0.8599 - 0.8778)
Texas Cohort - Urban,Urban,28401,720,LightGBM,Brier_Score,0.1629419564036705,0.1576519830856361,0.1677045505522367,0.1629 (0.1577 - 0.1677)
Texas Cohort - Urban,Urban,28401,720,XGBoost,ROC_AUC,0.8258677860918577,0.8120286818129382,0.8389385893230114,0.8259 (0.8120 - 0.8389)
Texas Cohort - Urban,Urban,28401,720,XGBoost,PR_AUC,0.4647927485005252,0.42886662373247897,0.5015119438981326,0.4648 (0.4289 - 0.5015)
Texas Cohort - Urban,Urban,28401,720,XGBoost,F1_Score,0.4792291952115298,0.45475356652120985,0.5054377402313948,0.4792 (0.4548 - 0.5054)
Texas Cohort - Urban,Urban,28401,720,XGBoost,Accuracy,0.7986164407674704,0.7880434782608696,0.8077803203661327,0.7986 (0.7880 - 0.8078)
Texas Cohort - Urban,Urban,28401,720,XGBoost,Precision,0.3925313001233491,0.3687320160029779,0.4198983012873289,0.3925 (0.3687 - 0.4199)
Texas Cohort - Urban,Urban,28401,720,XGBoost,Recall_Sensitivity,0.6154869626128359,0.5847513047852606,0.6458603395061728,0.6155 (0.5848 - 0.6459)
Texas Cohort - Urban,Urban,28401,720,XGBoost,Specificity,0.8310985746160765,0.8211525263581417,0.8412714257564072,0.8311 (0.8212 - 0.8413)
Texas Cohort - Urban,Urban,28401,720,XGBoost,Brier_Score,0.10234972612274536,0.0971192951643251,0.10723021379837437,0.1023 (0.0971 - 0.1072)
Texas Cohort - Urban,Urban,28401,720,CatBoost,ROC_AUC,0.8169871860657497,0.8027744653697708,0.8306579456238191,0.8170 (0.8028 - 0.8307)
Texas Cohort - Urban,Urban,28401,720,CatBoost,PR_AUC,0.4490438065217683,0.41574469030883227,0.48163959962923925,0.4490 (0.4157 - 0.4816)
Texas Cohort - Urban,Urban,28401,720,CatBoost,F1_Score,0.47343546561103705,0.4490119082048646,0.49792375210472,0.4734 (0.4490 - 0.4979)
Texas Cohort - Urban,Urban,28401,720,CatBoost,Accuracy,0.8029871501496214,0.7940019362788242,0.8128894560816757,0.8030 (0.7940 - 0.8129)
Texas Cohort - Urban,Urban,28401,720,CatBoost,Precision,0.3962651585002777,0.3695666585528669,0.4251306300098762,0.3963 (0.3696 - 0.4251)
Texas Cohort - Urban,Urban,28401,720,CatBoost,Recall_Sensitivity,0.5883284280536337,0.5574841359418109,0.620427219016688,0.5883 (0.5575 - 0.6204)
Texas Cohort - Urban,Urban,28401,720,CatBoost,Specificity,0.8410632472918033,0.8302071915806174,0.8514825663021228,0.8411 (0.8302 - 0.8515)
Texas Cohort - Urban,Urban,28401,720,CatBoost,Brier_Score,0.10402886663331026,0.09830376034545941,0.10896004479014679,0.1040 (0.0983 - 0.1090)
Texas Cohort - Urban,Urban,28401,720,Random Forest,ROC_AUC,0.7842334719981369,0.7705489167460171,0.7983320073970704,0.7842 (0.7705 - 0.7983)
Texas Cohort - Urban,Urban,28401,720,Random Forest,PR_AUC,0.3932040400520787,0.35878017300961434,0.42252052194575307,0.3932 (0.3588 - 0.4225)
Texas Cohort - Urban,Urban,28401,720,Random Forest,F1_Score,0.4374794077277281,0.4163807410328227,0.46082576761963523,0.4375 (0.4164 - 0.4608)
Texas Cohort - Urban,Urban,28401,720,Random Forest,Accuracy,0.7585037845449745,0.7461714486886112,0.7701108959690195,0.7585 (0.7462 - 0.7701)
Texas Cohort - Urban,Urban,28401,720,Random Forest,Precision,0.3370048811787919,0.315235339918445,0.3596176855786132,0.3370 (0.3152 - 0.3596)
Texas Cohort - Urban,Urban,28401,720,Random Forest,Recall_Sensitivity,0.6237290074987973,0.5929121599475582,0.6524621570482498,0.6237 (0.5929 - 0.6525)
Texas Cohort - Urban,Urban,28401,720,Random Forest,Specificity,0.782406409353689,0.7694471692078728,0.7935689438915289,0.7824 (0.7694 - 0.7936)
Texas Cohort - Urban,Urban,28401,720,Random Forest,Brier_Score,0.11215312665016634,0.1060150380840494,0.1175082741126621,0.1122 (0.1060 - 0.1175)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,ROC_AUC,0.7993190825755744,0.784499782577482,0.8125514650194747,0.7993 (0.7845 - 0.8126)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,PR_AUC,0.3975293267288304,0.3628223800393265,0.42992028605060856,0.3975 (0.3628 - 0.4299)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,F1_Score,0.4506567375080255,0.4308920405052265,0.4740731897293887,0.4507 (0.4309 - 0.4741)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,Accuracy,0.7384861820102095,0.7285601126562226,0.7500484069706037,0.7385 (0.7286 - 0.7500)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,Precision,0.32965820021177367,0.311158168342312,0.35159372415931645,0.3297 (0.3112 - 0.3516)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,Recall_Sensitivity,0.7124623447678544,0.6840641339003188,0.7434669360987228,0.7125 (0.6841 - 0.7435)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,Specificity,0.743107275365966,0.7316743662427811,0.7552289764513815,0.7431 (0.7317 - 0.7552)
Texas Cohort - Urban,Urban,28401,720,Gradient Boosting,Brier_Score,0.10967463400409788,0.103528806502565,0.11505665005398469,0.1097 (0.1035 - 0.1151)
