Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CHPU,1.000000080546237
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_6,1.0000000798248612
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Baltimore,1.000000079310336
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Hillsborough,1.0000000791141752
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1BHPS,1.000000078988033
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_24,1.0000000783746095
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_24,1.0000000783746095
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_24,1.0000000783746095
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_321,1.0000000779059293
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Forrest,1.000000077905929
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_537,1.000000077905929
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CHKX,1.000000077905929
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Fond_du_Lac,1.000000077905929
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_158,1.0000000779059288
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_50,1.0000000776968703
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_15_1,1.0000000769364044
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_5BHKS,1.0000000769084798
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2CGKV,1.0000000768589457
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G0_Other,1.0000000768589457
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_159,1.000000075896132
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Ventura,1.000000075881495
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_15,1.000000075325904
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_15,1.000000075325904
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_15,1.000000075325904
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2BHKS,1.0000000751543023
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_7,1.0000000751543021
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_29,1.000000074875718
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_29,1.000000074875718
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_29,1.000000074875718
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_57,1.000000074451303
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_65,1.000000074451303
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_Other,1.0000000744504671
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_295,1.0000000732625733
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1AFKU,1.0000000732625733
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Greenville,1.0000000732625733
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_634,1.0000000732625733
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Berkeley,1.0000000732625731
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_22_1,1.0000000732625731
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Allen,1.0000000732625731
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Kay,1.0000000732625731
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CHMS,1.0000000732346448
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Ramsey,1.0000000730926166
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_10_1,1.0000000730926164
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_49,1.0000000730926164
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Richmond,1.0000000730926164
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Taylor,1.0000000730926164
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_10_1,1.0000000730926164
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_10,1.0000000730926164
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Osceola,1.0000000730926162
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CHKU,1.000000073072884
